,key,CIDEr-R CC,CIDEr-R IC,CIDEr-D CC,CIDEr-D IC,SPICE CC,SPICE IC,METEOR CC,METEOR IC,ROUGE CC,ROUGE IC,BLEU4 CC,BLEU4 IC
0,0,452.25591565252137,537.3959986898483,452.25591565252137,537.3959986898483,80.00000000000001,20.000000000000004,92.51637043966326,47.24906840631036,90.0,90.0,65.80370063316481,70.71067810311668
1,5,32.10359605313297,129.58298251980958,7.531791876461902,201.11615771946788,10.526315789473685,15.384615384615383,8.7918376318998,25.86518702998565,22.86785379568885,60.212604403948376,1.7439708455942083e-07,30.78092103864531
2,10,160.12954208741795,745.2992077485319,128.49663918292543,745.2992077485319,50.0,88.88888888888889,22.869606444184313,56.122647106222566,50.24711696869852,91.66666666666666,5.113518530835271e-07,90.36020034474932
3,1,389.4870166075373,537.3959986898483,384.8838661351693,537.3959986898483,80.00000000000001,20.000000000000004,53.61156339751405,47.24906840631036,86.45669291338582,90.0,58.77283724477892,70.71067810311668
4,6,89.10169508445091,129.58298251980958,15.396215603581323,201.11615771946788,35.29411764705882,15.384615384615383,21.764025151559757,25.86518702998565,35.124760076775424,60.212604403948376,2.576795352671188e-07,30.78092103864531
5,11,160.12954208741795,415.83439805332205,128.49663918292543,304.23094466942945,50.0,46.15384615384615,22.869606444184313,30.85332904105782,50.24711696869852,60.29654036243821,5.113518530835271e-07,39.609144220896056
6,2,238.13416477968934,537.3959986898483,248.73724987970985,537.3959986898483,66.66666666666666,20.000000000000004,46.63928194702715,47.24906840631036,76.85039370078741,90.0,35.084396952641434,70.71067810311668
7,7,73.24730195766904,129.58298251980958,25.90251977593263,201.11615771946788,22.222222222222225,15.384615384615383,15.563243346468777,25.86518702998565,27.93040293040293,60.212604403948376,2.913644972767358e-07,30.78092103864531
8,12,160.12954208741795,77.23717959557398,128.49663918292543,61.35050482999003,50.0,16.666666666666664,22.869606444184313,13.849181071019204,50.24711696869852,31.443298969072163,5.113518530835271e-07,0.0023505403203546446
9,3,173.62284777787676,537.3959986898483,138.00226430634333,537.3959986898483,50.0,20.000000000000004,44.05419472594481,47.24906840631036,66.39455782312925,90.0,24.601372575092586,70.71067810311668
10,8,168.73446180677266,129.58298251980958,54.73847095023897,201.11615771946788,35.29411764705882,15.384615384615383,26.727365127360276,25.86518702998565,33.51648351648351,60.212604403948376,15.846693030175569,30.78092103864531
11,13,160.12954208741795,332.4973856216272,128.49663918292543,212.00969341299012,50.0,40.0,22.869606444184313,24.001753744120496,50.24711696869852,52.40549828178695,5.113518530835271e-07,27.952792730665184
12,4,78.70107420417759,537.3959986898483,60.827561036425806,537.3959986898483,15.384615384615385,20.000000000000004,25.619111187547983,47.24906840631036,49.79591836734694,90.0,0.0024601372575092585,70.71067810311668
13,9,133.2123021756585,129.58298251980958,12.528079663401186,201.11615771946788,14.285714285714288,15.384615384615383,14.36191056356845,25.86518702998565,36.895161290322584,60.212604403948376,9.772026961575971,30.78092103864531
14,14,160.12954208741795,76.98728917381764,128.49663918292543,54.846802049216315,50.0,30.769230769230766,22.869606444184313,12.215417077252907,50.24711696869852,31.443298969072163,5.113518530835271e-07,3.514877603253655e-07
